127.0.0.1 - - [18/Jun/2026:12:25:19 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:25:20 +0530] "GET /ORSProject04/ HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:25:23 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:25:26 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 21092
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:25:45 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 21849
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:25:47 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 21092
0:0:0:0:0:0:0:1 - - [18/Jun/2026:12:26:03 +0530] "GET /ORSProject04/ctl/StudentListCtl HTTP/1.1" 200 21488
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:05 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:05 +0530] "GET /ORSProject04/LoginCtl?error=OOPS!!%20your%20session%20has%20been%20expired,%20please%20relogin HTTP/1.1" 200 7459
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:09 +0530] "GET /ORSProject04/ForgetPasswordCtl HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:20 +0530] "POST /ORSProject04/ForgetPasswordCtl HTTP/1.1" 200 6231
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:31 +0530] "POST /ORSProject04/ForgetPasswordCtl HTTP/1.1" 200 6237
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:55 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:01:58 +0530] "GET /ORSProject04/UserRegistrationCtl HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:02:03 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:02:05 +0530] "GET /ORSProject04/ForgetPasswordCtl HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:03:41 +0530] "POST /ORSProject04/ForgetPasswordCtl HTTP/1.1" 200 6238
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:19 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:37 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:41 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 9798
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:42 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 21092
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:46 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 18591
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:15:57 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:16:06 +0530] "GET /ORSProject04/ctl/GetMarksheetCtl HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:16:32 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 9798
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:16:41 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 21096
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:17:09 +0530] "GET /ORSProject04/ctl/StudentListCtl HTTP/1.1" 200 21493
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:17:11 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 21096
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:36:22 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 21858
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:36:27 +0530] "GET /ORSProject04/ctl/UserCtl?id=1 HTTP/1.1" 200 19985
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:36:27 +0530] "GET /ORSProject04/img/cal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:38:37 +0530] "GET /ORSProject04/ctl/UserReportCtl HTTP/1.1" 200 6824
0:0:0:0:0:0:0:1 - - [18/Jun/2026:13:38:37 +0530] "GET /favicon.ico HTTP/1.1" 404 763
